Character,Dialogue
Tony Stark,"[still in pursuit of the ship and his protégé.] Unlock 17-A. [A pod launches from the upstate Avengers headquarters and curves up to the accelerating circular ship] Pete, you gotta let go. I'm gonna catch you."
peter parker,"But you said save the wizard! [Peter, gasping from lack of oxygen, pulls off his mask] I can't breathe!"
Tony Stark,You're too high up. You're running out of air.
peter parker,Yeah! That makes sense.
peter parker,"Mr. Stark, it smells like a new car in here!"
Tony Stark,"Happy trails, kid. F.R.I.D.A.Y, send him home."
f.r.i.d.a.y,Yep.
peter parker,"OH, COME ON!"
f.r.i.d.a.y,"Boss, incoming call from Miss Potts."
Pepper Potts,"[Sounding heavily worried.] Tony? Oh, my God. Are you all right? What's going on?"
Tony Stark,"Yeah, I'm fine. I just think we might have to push our 8:30 res."
Pepper Potts,Why?
Tony Stark,[While looking at the ship around him] Just 'cause I'll... probably not make it back for a while.
Pepper Potts,Tell me you're not on that ship.
Tony Stark,Yeah.
Pepper Potts,"God, no. Please tell me you're not on that ship."
Tony Stark,"Honey, I'm sorry. I'm sorry, I don't know what to say."
Pepper Potts,"Come back here, Tony. I swear to God…"
Tony Stark,Pep…
Pepper Potts,Come back here right now! Come back!
f.r.i.d.a.y,"Boss, we're losing her. I'm going, too…"
peter parker,Oh my God! [looks at the rapidly-receding planet behind him] I should have stayed on the bus...
Bruce Banner,Where you going?
Wong,The Time Stone's been taken. The Sanctum remains unguarded. What will you do?
Bruce Banner,[Holding Rogers' cell phone] I'm gonna make a call.
peter quill,"[chair-dancing to the song] Sing it, Drax!"
Rocket Raccoon,[yawns] Why are we doing this again?
Gamora,"[annoyed] It's a distress signal, Rocket. Someone could be dying."
Rocket Raccoon,"I get that, but why are we doing it?"
peter quill,Cause we're nice. And maybe whoever it is will give us a little cheddar cheese for our help.
Gamora,[waves her index finger at Quill] Which isn't the point.
peter quill,[points back at Gamora] Which isn't the point... I mean… If he doesn't pony up…
Drax,We'll take his ship.
Rocket Raccoon,Exactly!
peter quill,B-b-b-bingo!
Mantis,[reading her console] We are arriving.
peter quill,"All right, Guardians. Don't forget, this might be dangerous, so let's put on our mean faces. [Groot rolls his eyes as Mantis makes a snarl. Groot's handheld Terran-vintage video game beeps.] Groot, put that thing away. Now. I don't wanna tell you again. [Game continues beeping] Groot."
groot,[in a mocking tone] I am Groot!
peter quill,Whoa!
Rocket Raccoon,Language!
Gamora,Hey!
Drax,Wow.
peter quill,"You got some acorns on you, kid."
Rocket Raccoon,"Ever since you got a little sap, you're a total d-hole. Keep it up, and I'm gonna smash that thing to pieces!"
Mantis,What happened?
Rocket Raccoon,Looks like we're not getting paid.
Rocket Raccoon,(Waving his hands) Wipers! Wipers! Get it off!
peter quill,How the hell is this dude still alive?
Drax,"[Sounding awed.] He is not a dude. You're a dude. This... This is a man. A handsome, muscular man."
peter quill,[A little dented.] I'm muscular.
Rocket Raccoon,"Who are you kidding, Quill? You're one sandwich away from fat."
peter quill,"Yeah, right."
Drax,It's true. You have gained a little weight… [Drax motions to his chin and belly]
peter quill,"What? Gamora, do you think I'm…"
Mantis,He is anxious. Angry. He feels tremendous loss and guilt.
Drax,It's like a pirate had a baby with an angel.
peter quill,Wow. This is a real wake-up call for me. Okay. I'm gonna get a Bowflex. I'm gonna commit. I'm gonna get some dumbbells.
Rocket Raccoon,"You know you can't eat dumbbells, right?"
Gamora,"[reaches Drax's side and picks up Thor's left arm, stroking his triceps] It's like his muscles are made of Cotati metal fibers."
peter quill,"[snidely to Gamora] Stop massaging his muscles. [Gamora, annoyed, drops the arm with a thump; quietly to Mantis] Wake him up."
Mantis,[Places hand on Thor's forehead.] Wake.
Thor,Who the hell are you guys?
Gamora,"To bring balance to the Universe by wiping out half of all life. He used to kill people planet by planet, massacre by massacre..."
Drax,Including my own.
Gamora,"If he gets all six Infinity Stones, he can do it with the snap of his fingers, like this. [she snaps her fingers]"
Thor,You seem to know a great deal about Thanos.
Drax,Gamora... is the daughter of Thanos.
Thor,Your father killed my brother. [Thor stands and strides towards Gamora aggressively.]
peter quill,"Oh, boy. Stepfather. Technically, she hates him as much as you do. [Thor softens a bit.]"
Thor,"Families can be tough. [he claps a hand on Gamora's shoulder] Before my father died, he told me I had a half-sister...that he imprisoned in Hel. Then she returned home, and stabbed me in the eye, so... I had to kill her. It's life, isn't it, I guess. Goes round and round and... I feel your pain."
peter quill,"And I feel your pain, as well. I mean it's not a competition, but I've been through a lot. My father killed my mother, then I had to kill my father. And that was hard. Probably even harder than having to kill a sister. Plus, I, came out of it with both of my eyes-"""
Thor,"[not paying attention as he stares at his soup spoon] I need a hammer, not a spoon… (he attempts to fiddle with machinery) How do I open this thing? Is there some sort of a four-digit code maybe… Maybe a birth date or something…"
peter quill,What are you doing?
Thor,Taking your pod.
peter quill,"[deepens his voice] No, you're not! [mimics Thor’s accent] You'll not, be taking our pod today, sir."
Rocket Raccoon,Quill. Are you making your voice deeper?
peter quill,No.
Drax,You are. You're imitating the god-man. It's weird.
peter quill,No I'm not.
Mantis,(gasp) He just did it again!
peter quill,This is my voice!
Thor,[steps closer to Quill.] Are you mocking me?
peter quill,Are you mocking me?
Thor,Stop it. You did it again.
peter quill,He's trying to copy me.
Thor,Would you stop doing that? He's doing it first.
Gamora,Enough! We need to stop Thanos. Which means we need to find out where he's going next.
Thor,Knowhere.
Mantis,He must be going somewhere.
peter quill,"No. Knowhere? It's a place. We've been there. It sucks. Excuse me, that's our food. [To Thor as he rummages through their food stores]"
Thor,Not anymore.
Gamora,Thor… Why would he go to Knowhere?
Thor,"Because for years, the Reality Stone has been safely stored, there with a man we call the Collector."
peter quill,"If it's with the Collector, then it's not safe. Only an idiot would give that man a stone."
Thor,Or a genius.
Gamora,[to Thor] How do you know he's not going for one of the other Stones?
Thor,"There's six stones out there. [finishes rummaging and steps in front of Gamora] Thanos already has the Power Stone because he stole it last week, when he decimated Xandar. He stole the Space Stone from me when he destroyed my ship and slaughtered half my people. The Time and Mind Stones are safe on Earth. They're with the Avengers."
peter quill,The Avengers?
Thor,[by way of explanation.] They're Earth's Mightiest Heroes.
Mantis,Like Kevin Bacon?
Thor,"[pause] He may be on the team. I don't know. Haven't been there in a while. As for the Soul Stone, well, no one's ever seen that. No one even knows where it is. Therefore, Thanos can't get it. Therefore, he's going to Knowhere. Hence, he'll be getting the Reality Stone. You're welcome."
Gamora,Then we have to go to Knowhere now.
Thor,"Wrong! Where we have to go, is Nivadellir."
Drax,That's a made up word.
Thor,All words are made up.
Rocket Raccoon,"Hold up, Nidavellir is real? [climbing on to the table] Seriously? I mean, that place is a legend. [increasingly gleeful] They make the most powerful, horrific weapons to ever torment the Universe. I would very much like to go there, please."
Thor,"The rabbit is correct, and clearly the smartest among you."
Rocket Raccoon,Rabbit?
Thor,"Only Eitri the dwarf king can make me the weapon I need. [to Rocket] I assume you're the captain, sir?"
Rocket Raccoon,You're very perceptive.
Thor,You seem like a noble leader. Will you join me on my quest to Nidavellir?
Rocket Raccoon,"Lemme just ask the captain. Oh, wait a second, it's me! Yeah, I'll go."
Thor,Wonderful.
peter quill,Except for that I'm the captain.
Thor,Quiet!
peter quill,That's my backpack.
Rocket Raccoon,Go sit down.
peter quill,"[to Thor] Look, this is my ship. And I'm not goin' to… [gropes for ""Nidavellir""] Wait, what kind of weapon are we talking about here?"
Thor,The Thanos killing kind.
peter quill,Don't you think that we should all have a weapon like that?
Thor,No. You simply lack the strength to wield them. Your bodies will crumble as your minds collapse into the madness.
Rocket Raccoon,Is it weird that I wanna do it even more now?
Thor,A little bit. Yeah.
Gamora,"If we don't go to Knowhere and Thanos retrieves another stone, he'll be too powerful to stop."
Thor,He already is.
Rocket Raccoon,"I got it figured out. We got two ships, and a large assortment of morons. So me and Groot will go with the pirate-angel here, and the morons will go to Knowhere to try and stop Thanos. Cool? Cool."
Thor,So cool. [Smiles a big grin.]
peter quill,[to Rocket] For the record… I know that you're only going with him because it's where Thanos isn't.
Rocket Raccoon,"You know, Quill, you shouldn't talk that way to your captain, Quill. [As he enters the pod] Come on, Groot. Put that game down, you'll rot your brain."
Thor,"I bid you farewell and good luck, morons. Bye."
Vision,[gasps and holds his hand to the Mind Stone in pain]
Wanda Maximoff,Vis? Is it the stone again?
Vision,It's as if it's speaking to me.
Wanda Maximoff,What does it say?
Vision,I don't... I don't know. But something... 
Vision,Tell me what you feel.
Wanda Maximoff,I just feel you.
Wanda Maximoff,So there's a 10 AM to Glasgow to give us more time together before you went back.
Vision,What if I miss that train?
Wanda Maximoff,There is an 11.
Vision,"What if I missed all the trains? What if this time, I didn't go back?"
Wanda Maximoff,You gave Stark your word.
Vision,I'd rather give it to you.
Wanda Maximoff,"There are people who are expecting me too, you know. We both made promises."
Vision,"Not to each other. [he puts his hands on her shoulders] Wanda… For two years, we've stolen these moments, trying to see if this could work. And... I don't know. [stammers] You know what, I'm just gonna speak for myself. - I, I... I think..."
Wanda Maximoff,It works.
Vision,It works.
Vision,Then stay. Stay with me.
Vision,[suddenly very uncertain] Or not. If I'm overstepping…
Wanda Maximoff,[fearful] What are they?
Vision,What the stone was warning me about. [he kisses her hand] I have to go.
Wanda Maximoff,"No, Vision. Vision, if that's true… Then maybe going isn't the best idea."
Vision,"Wanda, I… [Corvus Glaive appears suddenly behind Vision, stabbing him through the back. Vision screams, loses his glamour to return to his green, red and gold appearance, and is thrown down into the street.]"
Wanda Maximoff,"Vision! [she circles her hands, gathering up energy for a counterattack when Proxima Midnight blasts her from behind, knocking Wanda across the street and through a bistro's window.]"
Vision,The blade. It stopped me from phasing.
Wanda Maximoff,Is that even possible?
Vision,"It isn't supposed to be. [his voice distorts electronically] My systems are failing. [Wanda gestures over his gaping wound, using her magic to knit him back together. Vision continues in a gasping, wry tone] I'm beginning to think... we should have stayed in bed."
Wanda Maximoff,Vis!
corvus glaive,"[to Vision] Give up the Stone, and she lives."
Wanda Maximoff,Hands off.
Wanda Maximoff,"[hushed voice, pleading.] Come on. Come on. Come on, you gotta get up. You gotta get up. Come on. Hey. Hey. We have to go."
Vision,Please. Please leave.
Wanda Maximoff,You asked me to stay... I'm staying.
Vision,Please.
Wanda Maximoff,Get up.
proxima midnight,[to Glaive] Get up.
corvus glaive,I can't.
Natasha Romanov,[coolly] We don't wanna kill you. But we will.
proxima midnight,You'll never get the chance again.
Sam Wilson,[to Vision] Can you stand?
Vision,"[electricity shimmers over his surface, and his voice distorts] Thank you, Captain."
Steve Rogers,[nods] Let's get you on the jet.
Natasha Romanov,"[closing the doors to the Quinjet, while addressing Wanda] I thought we had a deal. Stay close, check in. Don't take any chances."
Wanda Maximoff,I'm sorry. We just wanted time.
Sam Wilson,"Where to, Cap?"
Steve Rogers,Home.
Gamora,[to Young Gamora] Shhh. We'll be safe. We'll be safe.
child of thanos,[untranslated inquiry]
ebony maw,Zehobereians…
young gamora,[being dragged by one arm through the crowds] Mother! Where's my mother?!
ebony maw,"Choose a side, or die."
young gamora,Mother! [She punches at the arm of the one dragging her who surprisingly drops her arm and leaves]
ebony maw,"One side is a revelation. The other, an honor known only to a few."
thanos,"What's wrong, little one?"
young gamora,My mother. Where is my mother?
thanos,[kneels down to Gamora.] What's your name?
young gamora,Gamora.
thanos,"You're quite the fighter, Gamora. Come. Let me help you. [Thanos offers his hand; she wraps her little fingers around one massive finger, and he leads her to a pavilion, where he crouches to her eye level again and produces a small - for him - red-jeweled handle. Pressing the switch, razor-sharp blades pop out both ends.] Look. Pretty, isn't it? Perfectly balanced. As all things should be. Too much to one side, or the other… [He balances it on one finger, overbalances it purposefully and catches it.] Here. You try."
ebony maw,"Now go in peace, and meet your Maker."
thanos,Concentrate. There! You've got it.
peter quill,"Gamora. Do you know if these grenades are the ""blow off your junk"" kind or the gas kind? 'Cause I was thinking I might hang a couple on my belt right here. But I don't want to-"
Gamora,I need to ask a favor.
peter quill,"Yeah, sure."
Gamora,"One way or another, the path that we're on leads to Thanos."
peter quill,Which is what the grenades are for. [Gamora silences him with a look.] I'm sorry. What's the favor?
Gamora,If things go wrong… If Thanos gets me… I want you to promise me… you'll kill me.
peter quill,[A beat. Confusion.] What?
Gamora,I know something he doesn't. If he finds out… The entire Universe could be at risk.
peter quill,What do you know?
Gamora,"If I tell you, you'd know, too."
peter quill,"If it's so important, shouldn't I?"
Gamora,Only if you wanna die.
peter quill,Why does somebody always have to die in this scenario?
Gamora,"Just… trust me. And possibly, kill me."
peter quill,"I mean, I'd like to. I really would… [Gamora silences him by covering his mouth with her hand.]"
Gamora,Swear to me. Swear to me on your mother.
peter quill,[a beat. One that rests with him significantly.] Okay.
peter quill,Dude. How long have you been standing there?
Drax,An hour.
peter quill,An hour? Are you serious?
Drax,I've mastered the ability of standing so incredibly still... That I become invisible to the eye... Watch.
peter quill,You're eating a zarg-nut.
Drax,But my movement... was so slow... that it's imperceptible.
peter quill,"Mmm, no. [Quill and Gamora shake their heads.]"
Drax,I'm sure I'm invisible.
Mantis,"Hi, Drax."
Drax,[Knowing when he is beat] Damn it.
peter quill,This place looks deserted.
Drax,I'm reading movement from the third quadrant.
peter quill,"Yep. I'm picking that up, too. Let's put it down right here."
collector,I don't have it.
thanos,Everyone in the Galaxy knows you'd sell your own brother if you thought it would add the slightest trinket to your pathetic collection.
thanos,"I know you have the Reality Stone, Tivan. Giving it to me will spare you a great deal of suffering. [Thanos places a heavy boot on the middle of the Collector's chest and presses.]"
collector,[strained] I told you. I sold it. Why would I lie?
thanos,I imagine it's like breathing for you.
collector,Like suicide.
thanos,So you do understand. Not even you would surrender something so precious.
collector,I didn't know what it was.
thanos,"Then you're more of a fool than I took you for. Last chance, charlatan. Where's the Stone?"
Drax,Today...
peter quill,[grasping the danger] Drax. Drax.
Drax,...he pays for the deaths of my wife and daughter.
peter quill,"Drax, waaaaait! [Drax draws his long dagger from his leg scabbard] Not yet, not yet, not yet. [Drax gives him a look and heads towards Thanos. Quill hurries as quietly as possible to catch up.] Drax, Drax, Drax. He doesn't have the Stone yet. We get it, and then we can stop him. We have to get the Stone first. Yeah."
Drax,No. No. For Ovette. For Camaria.
Mantis,"Sleeeep. [Drax is knocked out, his falling body causing a loud crash. Everybody ducks.]"
peter quill,"Okay. Gamora, Mantis, you go right. I'm... [Gamora moves towards Thanos] The other right!"
thanos,"Why? [he falls down] Why you? Daughter… [he holds his hand out to her, blood pooling out from his neck wound, before collapsing completely. Gamora breaks down, sobbing.]"
peter quill,[surprised] That was quick.
collector,Magnificent! Magnificent! Magnificent!
thanos,"Is it sadness I sense in you, daughter? In my heart, I knew you still cared. But one ever knows for sure. Reality is often disappointing."
thanos,"That is, it was. Now… Reality can be whatever I want."
Gamora,"[her face still wet, but no longer crying] You knew I'd come."
thanos,"I counted on it. There's something we need to discuss, little one."
Drax,Thanos!
peter quill,"[Moving in, his blaster pointed right at Thanos] Let her go, Grimace!"
Gamora,Peter…
peter quill,[to Gamora] I told you to go right.
Gamora,Now? Really?
peter quill,You let her go!
thanos,"Ah, the boyfriend."
peter quill,I like to think of myself more as a Titan-killing long-term booty call. Let her go.
Gamora,Peter…
peter quill,Or I'm gonna blow that nutsack of a chin right off your face!
Gamora,Not him.
Gamora,You promised! You promised.
thanos,"Oh, daughter. You expect too much from him. [to Quill] She's asked, hasn't she? Do it. [There is a very tense and unpleasant pause. Thanos rolls his head and shoves Gamora towards Quill’s gun, egging him on.] DO IT!!"
peter quill,[tearing up] I told you to go right.
Gamora,"I love you, more than anything."
peter quill,"I love you, too."
thanos,[genuinely sincere] I like you.
secretary ross,Still no word from Vision?
james rhodes,Satellites lost him somewhere over Edinburgh.
secretary ross,On a stolen quinjet with four of the world's most wanted criminals.
james rhodes,"You know they're only criminals because you've chosen to call them that, right, sir?"
secretary ross,"My God, Rhodes, your talent for horseshit rivals my own."
james rhodes,"If it weren't for those Accords, Vision would've been right here."
secretary ross,"I remember your signature on those papers, Colonel."
